[12:49:04] === τ-ladder started — γ=0.5, G=10, Gp=3 ===
[12:49:04] 
=== τ-ladder: p357, p=[0.3, 0.5, 0.7] ===
[12:49:04]   Anchor solve τ=2.0
[12:49:09]   Anchor: F=3.390e-13, iters=21
[12:49:15]   Walking τ from 2.0 to 0.5 in 150 steps of 0.01
[12:49:25]   τ=1.99: F=3.77e-13, iters=15, 1-R²=0.2477, slope=0.225, wall=3.3s
[12:49:34]   τ=1.98: F=7.89e-13, iters=15, 1-R²=0.2496, slope=0.224, wall=3.3s
[12:49:44]   τ=1.97: F=5.33e-13, iters=16, 1-R²=0.2516, slope=0.224, wall=3.4s
[12:49:54]   τ=1.96: F=4.28e-13, iters=17, 1-R²=0.2535, slope=0.223, wall=3.8s
[12:50:04]   τ=1.95: F=4.48e-13, iters=18, 1-R²=0.2555, slope=0.223, wall=4.0s
[12:50:38]   τ=1.89: F=2.57e-11, iters=20, 1-R²=0.2680, slope=0.219, wall=4.8s
[12:51:26]   committed + pushed: τ-ladder p357: τ→1.80
[12:51:37]   τ=1.79: F=1.09e-05, iters=20, 1-R²=0.2909, slope=0.213, wall=5.0s
[12:52:45]   τ=1.69: F=6.27e-07, iters=20, 1-R²=0.3168, slope=0.206, wall=6.9s
[12:53:35]   τ=1.60: F=1.15e-03, iters=3, 1-R²=—, slope=nan, wall=2.5s
[12:53:37]   committed + pushed: τ-ladder p357: τ→1.60
[12:53:39]   τ=1.59: F=1.31e-03, iters=3, 1-R²=—, slope=nan, wall=2.5s
[12:53:40]   τ=1.58: F=1.66e-03, iters=2, 1-R²=—, slope=nan, wall=1.4s
[12:53:42]   τ=1.57: F=1.60e-03, iters=2, 1-R²=—, slope=nan, wall=2.0s
[12:53:44]   τ=1.56: F=1.87e-03, iters=2, 1-R²=—, slope=nan, wall=1.4s
[12:53:46]   τ=1.55: F=1.82e-03, iters=2, 1-R²=—, slope=nan, wall=1.9s
[12:53:47]   τ=1.54: F=2.02e-03, iters=2, 1-R²=—, slope=nan, wall=1.4s
[12:53:49]   τ=1.53: F=1.98e-03, iters=2, 1-R²=—, slope=nan, wall=1.8s
[12:53:50]   τ=1.52: F=2.31e-03, iters=2, 1-R²=—, slope=nan, wall=1.4s
[12:53:51]   τ=1.51: F=2.25e-03, iters=1, 1-R²=—, slope=nan, wall=1.1s
[12:53:53]   τ=1.50: F=2.20e-03, iters=1, 1-R²=—, slope=nan, wall=1.2s
[12:53:54]   τ=1.49: F=2.22e-03, iters=2, 1-R²=—, slope=nan, wall=1.7s
[12:53:56]   τ=1.48: F=2.30e-03, iters=2, 1-R²=—, slope=nan, wall=1.5s
[12:53:57]   τ=1.47: F=2.24e-03, iters=1, 1-R²=—, slope=nan, wall=1.2s
[12:53:58]   τ=1.46: F=2.34e-03, iters=2, 1-R²=—, slope=nan, wall=1.4s
[12:54:00]   τ=1.45: F=2.27e-03, iters=1, 1-R²=—, slope=nan, wall=1.2s
[12:54:01]   τ=1.44: F=2.22e-03, iters=1, 1-R²=—, slope=nan, wall=1.1s
[12:54:02]   τ=1.43: F=2.37e-03, iters=2, 1-R²=—, slope=nan, wall=1.4s
[12:54:03]   τ=1.42: F=2.20e-03, iters=1, 1-R²=—, slope=nan, wall=1.2s
[12:54:04]   τ=1.41: F=2.16e-03, iters=1, 1-R²=—, slope=nan, wall=1.1s
[12:54:06]   τ=1.40: F=2.22e-03, iters=2, 1-R²=—, slope=nan, wall=1.4s
[12:54:08]   committed + pushed: τ-ladder p357: τ→1.40
[12:54:09]   τ=1.39: F=2.08e-03, iters=1, 1-R²=—, slope=nan, wall=1.2s
[12:54:10]   τ=1.38: F=2.03e-03, iters=1, 1-R²=—, slope=nan, wall=1.2s
