==================================================================================
K=3 STRICT h=0 learning iterates 0..100  (LOW tau/gamma)
  ASYM: tau=[0.1, 0.3, 1.0], gamma=[0.05, 0.2, 0.5]
  SYM : tau=[0.3, 0.3, 0.3], gamma=[0.2, 0.2, 0.2]
==================================================================================
iter  |       ASYM F    ASYM 1-R^2  |        SYM F     SYM 1-R^2
----------------------------------------------------------------------------------
   0  |   3.1260e-01      0.327337  |   2.5163e-01      0.053142
   1  |   8.5402e-02      0.147335  |   4.9656e-02      0.016508
   2  |   6.0593e-02      0.098105  |   3.4267e-02      0.006881
   3  |   4.7430e-02      0.071349  |   2.5010e-02      0.003253
   4  |   3.6674e-02      0.054047  |   1.7775e-02      0.001778
   5  |   3.0659e-02      0.042267  |   1.2504e-02      0.001202
   6  |   2.5960e-02      0.033924  |   1.1135e-02      0.000977
   7  |   2.2965e-02      0.027826  |   8.3134e-03      0.000895
   8  |   2.1569e-02      0.023240  |   5.8830e-03      0.000874
   9  |   1.9606e-02      0.019685  |   4.3712e-03      0.000874
  10  |   1.7499e-02      0.016908  |   4.3236e-03      0.000881
  11  |   1.5454e-02      0.014693  |   4.6354e-03      0.000889
  12  |   1.4430e-02      0.012885  |   3.5489e-03      0.000899
  13  |   1.3684e-02      0.011397  |   2.9392e-03      0.000905
  14  |   1.2262e-02      0.010153  |   2.3004e-03      0.000911
  15  |   1.1538e-02      0.009092  |   3.9676e-03      0.000916
  16  |   1.1597e-02      0.008174  |   3.0738e-03      0.000921
  17  |   1.2643e-02      0.007376  |   2.2394e-03      0.000922
  18  |   1.1175e-02      0.006676  |   1.6740e-03      0.000924
  19  |   1.1535e-02      0.006063  |   1.2675e-03      0.000925
  20  |   1.0305e-02      0.005524  |   1.3638e-03      0.000926
  21  |   9.3894e-03      0.005047  |   7.4887e-04      0.000927
  22  |   7.9230e-03      0.004624  |   1.8149e-03      0.000927
  23  |   7.5808e-03      0.004247  |   5.9601e-04      0.000928
  24  |   1.1597e-02      0.003911  |   4.5747e-04      0.000928
  25  |   1.3448e-02      0.003611  |   3.5015e-04      0.000928
  26  |   1.2192e-02      0.003343  |   2.6767e-04      0.000929
  27  |   1.0478e-02      0.003106  |   3.2258e-04      0.000929
  28  |   1.1513e-02      0.002893  |   2.1019e-04      0.000929
  29  |   9.7381e-03      0.002703  |   1.5863e-04      0.000929
