==============================================================================
K=3 strict h=0 learning iterates: ASYM vs SYM  (tau,gamma in setup above)
==============================================================================
iter  |     ASYM F  ASYM 1-R^2  |      SYM F   SYM 1-R^2
------------------------------------------------------------------------------
   0  |  4.994e-01     0.63564  |  3.331e-01     0.02949
   1  |  2.320e-01     0.24604  |  1.671e-01     0.00874
   2  |  1.975e-01     0.19683  |  1.244e-01     0.00333
   3  |  1.951e-01     0.15634  |  9.085e-02     0.00132
   4  |  1.504e-01     0.12578  |  6.938e-02     0.00055
   5  |  1.477e-01     0.10263  |  5.031e-02     0.00023
   6  |  1.328e-01     0.08707  |  3.789e-02     0.00010
   7  |  1.288e-01     0.08131  |  3.051e-02     0.00005
   8  |  1.132e-01     0.06709  |  2.505e-02     0.00002
   9  |  9.557e-02     0.05634  |  1.851e-02     0.00002
  10  |  9.770e-02     0.05047  |  1.488e-02     0.00001
  11  |  9.754e-02     0.04462  |  1.156e-02     0.00001
  12  |  8.055e-02     0.03761  |  1.020e-02     0.00001
  13  |  7.902e-02     0.03260  |  9.475e-03     0.00001
  14  |  8.049e-02     0.02863  |  9.080e-03     0.00001
  15  |  7.592e-02     0.02527  |  9.601e-03     0.00001
  16  |  7.556e-02     0.02329  |  9.840e-03     0.00001
  17  |  7.520e-02     0.02067  |  9.820e-03     0.00001
  18  |  7.194e-02     0.01790  |  9.528e-03     0.00001
  19  |  6.836e-02     0.01590  |  9.545e-03     0.00001
  20  |  6.559e-02     0.01405  |  9.048e-03     0.00001
==============================================================================
