# float128 tau=1.4999999999999996 G=32 F=1.181780e-16 iters=22
np.longdouble('0.060000000000000015323') np.longdouble('0.007255558148625685343') np.longdouble('0.013646617887904655405') np.longdouble('0.026779592440645399362') np.longdouble('0.052756834291152382676') np.longdouble('0.10208516467034416419') np.longdouble('0.1884331741356247655') np.longdouble('0.32272978027456198256') np.longdouble('0.4914879843034231804') np.longdouble('0.60759709869288216425') np.longdouble('0.6980093112346032186') np.longdouble('0.7780778330848757493') np.longdouble('0.847633262950257054') np.longdouble('0.9101193166227610862') np.longdouble('0.96046918480196045') np.longdouble('0.9868138129359500421') np.longdouble('0.060000000000000349115')
np.longdouble('0.088387096774193429794') np.longdouble('0.0075443467305172384347') np.longdouble('0.0143358747484557797894') np.longdouble('0.02796200583629585738') np.longdouble('0.05456177056289084261') np.longdouble('0.10451223710856649286') np.longdouble('0.19127922958528641891') np.longdouble('0.325020715411169489') np.longdouble('0.4930990051995336948') np.longdouble('0.6523324663944982273') np.longdouble('0.7397400654413807496') np.longdouble('0.81243975093315900224') np.longdouble('0.87227428565617416223') np.longdouble('0.9230218982050490075') np.longdouble('0.963954036200175258') np.longdouble('0.98732052134865320764') np.longdouble('0.08838709677419404249')
np.longdouble('0.11677419354838686396') np.longdouble('0.0077609595063519328366') np.longdouble('0.014837078045363684893') np.longdouble('0.028797239860333664529') np.longdouble('0.055805137710300868063') np.longdouble('0.106151485083676384033') np.longdouble('0.19315058311156807742') np.longdouble('0.32653967166710354286') np.longdouble('0.49410694612020822') np.longdouble('0.6547192077479024929') np.longdouble('0.766661083944702476') np.longdouble('0.8344446512673850471') np.longdouble('0.8879842666575377976') np.longdouble('0.93158740007149325266') np.longdouble('0.96654066466687603865') np.longdouble('0.9877081723960230457') np.longdouble('0.11677419354838776831')
np.longdouble('0.14516129032258034044') np.longdouble('0.007938616151262611708') np.longdouble('0.0152414966985550830145') np.longdouble('0.029460537189267668964') np.longdouble('0.05677986448416871973') np.longdouble('0.10742457086952385283') np.longdouble('0.19458989311042665642') np.longdouble('0.327711399719110509') np.longdouble('0.49487493543425769435') np.longdouble('0.656157669097482231') np.longdouble('0.78376921885342065206') np.longdouble('0.85014386985050719977') np.longdouble('0.8992079583195764643') np.longdouble('0.93788611031522486244') np.longdouble('0.9686030058041529199') np.longdouble('0.9880269039815316451') np.longdouble('0.14516129032258128404')
np.longdouble('0.17354838709677380262') np.longdouble('0.008092675324737977843') np.longdouble('0.015587985409838441133') np.longdouble('0.030021621150340946192') np.longdouble('0.057596741955379153093') np.longdouble('0.10848523109531879386') np.longdouble('0.19578173538798989935') np.longdouble('0.32868285874126135248') np.longdouble('0.49550896948070737532') np.longdouble('0.65725635371927949955') np.longdouble('0.7859063574770437249') np.longdouble('0.8622544034043327343') np.longdouble('0.90779033263459748556') np.longdouble('0.94281370397298054804') np.longdouble('0.9703218295035828886') np.longdouble('0.98830151861145404944') np.longdouble('0.17354838709677490892')
np.longdouble('0.20193548387096720951') np.longdouble('0.008231516475536810239') np.longdouble('0.015896971743487778259') np.longdouble('0.030516202167112333513') np.longdouble('0.05831129321903872317') np.longdouble('0.109406777531423540906') np.longdouble('0.19681393459692555547') np.longdouble('0.32952397531742293798') np.longdouble('0.49605705685469546874') np.longdouble('0.65817053176851685135') np.longdouble('0.78737297180416096265') np.longdouble('0.87384185097944779355') np.longdouble('0.91466305318995301055') np.longdouble('0.9468331536230838409') np.longdouble('0.97179885862872327607') np.longdouble('0.9885459615621219379') np.longdouble('0.20193548387096842086')
np.longdouble('0.23032258064516068652') np.longdouble('0.008360373106616031591') np.longdouble('0.016180950910207889957') np.longdouble('0.030965004405420182614') np.longdouble('0.058954418757318815525') np.longdouble('0.110231894379824696786') np.longdouble('0.19773524740145692852') np.longdouble('0.33027403054681678658') np.longdouble('0.49654541721050369778') np.longdouble('0.6589673476461011927') np.longdouble('0.7885461591317254834') np.longdouble('0.8760402606644462797') np.longdouble('0.92038566098841336014') np.longdouble('0.95021284525409154757') np.longdouble('0.9730971231114933707') np.longdouble('0.9887687889892419731') np.longdouble('0.2303225806451621117')
np.longdouble('0.25870967741935415013') np.longdouble('0.0084828589299692830035') np.longdouble('0.016448487414615908806') np.longdouble('0.03138148340863880909') np.longdouble('0.05954640281734740006') np.longdouble('0.11098776955169258136') np.longdouble('0.19857493508676841502') np.longdouble('0.33095777847979907015') np.longdouble('0.49699013897388390952') np.longdouble('0.65968300399065624845') np.longdouble('0.78954990203000013666') np.longdouble('0.87741073426179273277') np.longdouble('0.92620318587559246053') np.longdouble('0.95312220103375871983') np.longdouble('0.97425843313250240865') np.longdouble('0.98897560518672587046') np.longdouble('0.25870967741935563475')
np.longdouble('0.28709677419354773877') np.longdouble('0.008601810036920447128') np.longdouble('0.016705945049826407932') np.longdouble('0.031775350710565379603') np.longdouble('0.06010053293437012109') np.longdouble('0.11169142289425468464') np.longdouble('0.19935472507840337099') np.longdouble('0.33159153904730375863') np.longdouble('0.49740243579475931622') np.longdouble('0.6603396328490015292') np.longdouble('0.7904426999473158136') np.longdouble('0.87847497388617919075') np.longdouble('0.9302074969281459517') np.longdouble('0.9556780778276880592') np.longdouble('0.97531201648890608873') np.longdouble('0.989170274840551638') np.longdouble('0.28709677419354932268')
np.longdouble('0.31548387096774118933') np.longdouble('0.008719198387470001125') np.longdouble('0.016958574599442868097') np.longdouble('0.032153773253377071726') np.longdouble('0.060627274066124793772') np.longdouble('0.1123564268203852151') np.longdouble('0.20008813928706313354') np.longdouble('0.33218692056304248452') np.longdouble('0.497789565194365205') np.longdouble('0.66095207883185671453') np.longdouble('0.7912577779305744861') np.longdouble('0.87937537495390609286') np.longdouble('0.93172594447842594343') np.longdouble('0.9579929774364018023') np.longdouble('0.9762792758093194062') np.longdouble('0.98935557939128567395') np.longdouble('0.31548387096774284277')
np.longdouble('0.34387096774193469655') np.longdouble('0.0088372382284887609585') np.longdouble('0.01721135494699643766') np.longdouble('0.03252274660460881691') np.longdouble('0.061133992607220402357') np.longdouble('0.11299164883747669173') np.longdouble('0.20078717958269077453') np.longdouble('0.33275359924359592523') np.longdouble('0.49815747719365780296') np.longdouble('0.6615311708266385407') np.longdouble('0.79201647277878908397') np.longdouble('0.8801728521663116533') np.longdouble('0.93273750316726827873') np.longdouble('0.96032323004625667857') np.longdouble('0.97717679206798107504') np.longdouble('0.98953359495591364323') np.longdouble('0.3438709677419364172')
