# float128 tau=1.3999999999999995 G=32 F=5.914323e-17 iters=17
np.longdouble('0.06000000000000001952') np.longdouble('0.00727461871319796139') np.longdouble('0.013754269822782797537') np.longdouble('0.027057822499277957457') np.longdouble('0.053353644923493017703') np.longdouble('0.10320840376294333343') np.longdouble('0.19021098934686493206') np.longdouble('0.32477419686045783478') np.longdouble('0.4933134214999881255') np.longdouble('0.60796238580008802476') np.longdouble('0.6999321257383411364') np.longdouble('0.7826483641758996675') np.longdouble('0.85433804259987085935') np.longdouble('0.91597812202922779734') np.longdouble('0.96272766800208152833') np.longdouble('0.98705836836016131006') np.longdouble('0.060000000000000416776')
np.longdouble('0.0883870967741934305') np.longdouble('0.007558081515737177021') np.longdouble('0.014417542015082440867') np.longdouble('0.028177872641436229041') np.longdouble('0.055029734939713558382') np.longdouble('0.10539261591077474317') np.longdouble('0.19268503034533781941') np.longdouble('0.32666064839964375092') np.longdouble('0.49456099448539525586') np.longdouble('0.65465284342194698697') np.longdouble('0.7405616476429596104') np.longdouble('0.8148595183348482105') np.longdouble('0.87627617932753571514') np.longdouble('0.92685094079414376744') np.longdouble('0.96563990268208011445') np.longdouble('0.98752620478021004957') np.longdouble('0.08838709677419408198')
np.longdouble('0.11677419354838685845') np.longdouble('0.0077693838565058036162') np.longdouble('0.014895631576283373302') np.longdouble('0.02896169122275255249') np.longdouble('0.05617396044668045515') np.longdouble('0.10686272545079982416') np.longdouble('0.19430742418281602831') np.longdouble('0.3279143921280211888') np.longdouble('0.49534852809300818213') np.longdouble('0.6565987562424412989') np.longdouble('0.766888388959560867') np.longdouble('0.8358060254878398466') np.longdouble('0.8905726591246225292') np.longdouble('0.93428290097973820064') np.longdouble('0.9678573872265426745') np.longdouble('0.98788585873092176414') np.longdouble('0.11677419354838787005')
np.longdouble('0.14516129032258027267') np.longdouble('0.007941953590167134109') np.longdouble('0.015279276375465213041') np.longdouble('0.02958172201186720557') np.longdouble('0.057068974269340536136') np.longdouble('0.10800272118665689218') np.longdouble('0.19555511298606621841') np.longdouble('0.32888351823659376164') np.longdouble('0.49595117670220289564') np.longdouble('0.65777169901598506326') np.longdouble('0.78582134950944781103') np.longdouble('0.85091186690887805064') np.longdouble('0.90095401158277437284') np.longdouble('0.93986377320574312263') np.longdouble('0.96965978822820306313') np.longdouble('0.9881827018850821861') np.longdouble('0.14516129032258139206')
np.longdouble('0.17354838709677373521') np.longdouble('0.008091123936089150444') np.longdouble('0.015606582587264505257') np.longdouble('0.030104202178261099923') np.longdouble('0.05781721587419193541') np.longdouble('0.10895149763557609368') np.longdouble('0.19658829618722140471') np.longdouble('0.32968807697226298192') np.longdouble('0.49645014310638493451') np.longdouble('0.6586710020657766121') np.longdouble('0.78765423097225189896') np.longdouble('0.86255464421950672944') np.longdouble('0.9089938572691527287') np.longdouble('0.9443015025779487724') np.longdouble('0.9711850673440100344') np.longdouble('0.98843936187901549516') np.longdouble('0.17354838709677500262')
np.longdouble('0.20193548387096711448') np.longdouble('0.008225239678024843136') np.longdouble('0.015897417698036891948') np.longdouble('0.030563516585375557862') np.longdouble('0.05847046760189462699') np.longdouble('0.10977508975368342338') np.longdouble('0.1974831578087122469') np.longdouble('0.3303852382920560164') np.longdouble('0.49688213499633023467') np.longdouble('0.6594215080588956047') np.longdouble('0.78890152295686860227') np.longdouble('0.8753108768178844128') np.longdouble('0.91549656240768699717') np.longdouble('0.9479698177035778485') np.longdouble('0.9725123614292717338') np.longdouble('0.98866862529639302473') np.longdouble('0.20193548387096851434')
np.longdouble('0.23032258064516059179') np.longdouble('0.0083494972995944246744') np.longdouble('0.016163855289643331099') np.longdouble('0.030979273798420182865') np.longdouble('0.059057284370098213432') np.longdouble('0.11051200822266514661') np.longdouble('0.19828168685122057786') np.longdouble('0.3310073764748695543') np.longdouble('0.49726746059124295147') np.longdouble('0.6600771616466495525') np.longdouble('0.78989995268619343696') np.longdouble('0.87736374389555997754') np.longdouble('0.9209402974675432349') np.longdouble('0.9510889592360652261') np.longdouble('0.97369154259920407356') np.longdouble('0.9888783567017710314') np.longdouble('0.23032258064516213556')
np.longdouble('0.2587096774193540418') np.longdouble('0.008467497801785358257') np.longdouble('0.016414141619658595342') np.longdouble('0.031364109484192324067') np.longdouble('0.059596566647334333268') np.longdouble('0.11118641117125011326') np.longdouble('0.199009418586133191') np.longdouble('0.33157467978330932754') np.longdouble('0.49761874373457312866') np.longdouble('0.66066709437194150325') np.longdouble('0.790755786405561522') np.longdouble('0.8785740330730417778') np.longdouble('0.9260357784183212564') np.longdouble('0.9537997337885805718') np.longdouble('0.9747561867853246876') np.longdouble('0.98907371655320144627') np.longdouble('0.25870967741935574152')
np.longdouble('0.28709677419354763094') np.longdouble('0.008582081974970402397') np.longdouble('0.016654383375361856977') np.longdouble('0.031727204567892394192') np.longdouble('0.06010057276502973276') np.longdouble('0.11181362942878671507') np.longdouble('0.19968514021245368595') np.longdouble('0.33210082096837475742') np.longdouble('0.49794459718183944002') np.longdouble('0.66120914203125277244') np.longdouble('0.7915186000117312') np.longdouble('0.8795061945553569765') np.longdouble('0.93105843018509117147') np.longdouble('0.9561996770618647793') np.longdouble('0.97573008171449236') np.longdouble('0.9892582688457522349') np.longdouble('0.2870967741935494293')
np.longdouble('0.31548387096774110954') np.longdouble('0.0086952521029514250755') np.longdouble('0.016889613238835958253') np.longdouble('0.03207525647872256864') np.longdouble('0.06057891301226181309') np.longdouble('0.11240587399856171077') np.longdouble('0.20032053682357939142') np.longdouble('0.33259508500792823942') np.longdouble('0.4982506968623504808') np.longdouble('0.66171529218646266384') np.longdouble('0.7922162624112953813') np.longdouble('0.880293933945210014') np.longdouble('0.93253381030578306717') np.longdouble('0.9583708692995583877') np.longdouble('0.9766308550821552469') np.longdouble('0.98943458399677765096') np.longdouble('0.31548387096774294916')
np.longdouble('0.34387096774193467248') np.longdouble('0.00880928054565620081') np.longdouble('0.017124620201187089857') np.longdouble('0.032413853098918933156') np.longdouble('0.061038296989238933685') np.longdouble('0.11297114376069322622') np.longdouble('0.2009258106144842702') np.longdouble('0.3330655657932551983') np.longdouble('0.49854168847074609215') np.longdouble('0.6621942695235867826') np.longdouble('0.7928667094145664084') np.longdouble('0.8809921827941592266') np.longdouble('0.93345632650554614566') np.longdouble('0.9605552599155713512') np.longdouble('0.97747230072849902553') np.longdouble('0.9896045883594359312') np.longdouble('0.34387096774193652343')
