i,j,k,xi1,xi2,xi3,u1,Sig,delta,u2,u3,P_interp,Phi,resid,abs_resid
1,1,1,-0.8333333333333334,-0.8333333333333334,-0.8333333333333334,-2.3978952727983707,-3.596842909197556,-3.596842909197556,-3.596842909197556,0.0,0.3277532690116214,0.020786518012769463,-0.3069667509988519,0.3069667509988519
1,1,2,-0.8333333333333334,-0.8333333333333334,-0.6666666666666667,-2.3978952727983707,-3.596842909197556,-2.414156868651151,-3.0054998889243536,-0.5913430202732024,0.14075986696308745,0.0032314323346226198,-0.13752843462846484,0.13752843462846484
1,1,3,-0.8333333333333334,-0.8333333333333334,-0.5,-2.3978952727983707,-3.596842909197556,-1.6479184330021646,-2.6223806710998603,-0.9744622380976957,0.06122231227618753,0.0002225526561193444,-0.060999759620068185,0.060999759620068185
1,1,4,-0.8333333333333334,-0.8333333333333334,-0.33333333333333337,-2.3978952727983707,-3.596842909197556,-1.039720770839918,-2.318281840018737,-1.278561069178819,0.035939625193013754,0.00010817220433968365,-0.03583145298867407,0.03583145298867407
1,1,5,-0.8333333333333334,-0.8333333333333334,-0.16666666666666674,-2.3978952727983707,-3.596842909197556,-0.5047083549318196,-2.050775632064688,-1.546067277132868,0.018932578130410313,1.7270470327127243e-05,-0.018915307660083185,0.018915307660083185
1,1,6,-0.8333333333333334,-0.8333333333333334,0.0,-2.3978952727983707,-3.596842909197556,0.0,-1.798421454598778,-1.798421454598778,0.015980033149668442,1.2532871166847392e-05,-0.015967500278501596,0.015967500278501596
1,1,7,-0.8333333333333334,-0.8333333333333334,0.16666666666666652,-2.3978952727983707,-3.596842909197556,0.504708354931819,-1.5460672771328685,-2.0507756320646875,0.01893257811140147,1.7502664756864453e-05,-0.018915075446644607,0.018915075446644607
1,1,8,-0.8333333333333334,-0.8333333333333334,0.33333333333333326,-2.3978952727983707,-3.596842909197556,1.0397207708399177,-1.2785610691788192,-2.318281840018737,0.03593962518890643,0.00011293568902389945,-0.035826689499882526,0.035826689499882526
1,1,9,-0.8333333333333334,-0.8333333333333334,0.5,-2.3978952727983707,-3.596842909197556,1.6479184330021646,-0.9744622380976957,-2.6223806710998603,0.06122231228165889,0.0003387103236535822,-0.06088360195800531,0.06088360195800531
1,1,10,-0.8333333333333334,-0.8333333333333334,0.6666666666666665,-2.3978952727983707,-3.596842909197556,2.41415686865115,-0.5913430202732031,-3.005499888924353,0.14075986693250242,0.003687860589023874,-0.13707200634347855,0.13707200634347855
1,1,11,-0.8333333333333334,-0.8333333333333334,0.8333333333333333,-2.3978952727983707,-3.596842909197556,3.596842909197555,-4.440892098500626e-16,-3.5968429091975556,0.3277532690121109,0.023693859985675574,-0.3040594090264353,0.3040594090264353
1,2,1,-0.8333333333333334,-0.6666666666666667,-0.8333333333333334,-2.3978952727983707,-2.414156868651151,-3.596842909197556,-3.0054998889243536,0.5913430202732024,0.33332910159251916,0.053452965899215873,-0.2798761356933033,0.2798761356933033
1,2,2,-0.8333333333333334,-0.6666666666666667,-0.6666666666666667,-2.3978952727983707,-2.414156868651151,-2.414156868651151,-2.414156868651151,0.0,0.32775326899336577,0.020786518018727065,-0.3069667509746387,0.3069667509746387
1,2,3,-0.8333333333333334,-0.6666666666666667,-0.5,-2.3978952727983707,-2.414156868651151,-1.6479184330021646,-2.031037650826658,-0.3831192178244933,0.19900213808094486,0.005691860922099128,-0.19331027715884572,0.19331027715884572
1,2,4,-0.8333333333333334,-0.6666666666666667,-0.33333333333333337,-2.3978952727983707,-2.414156868651151,-1.039720770839918,-1.7269388197455346,-0.6872180489056166,0.12085578724554018,0.0016640302044133195,-0.11919175704112686,0.11919175704112686
1,2,5,-0.8333333333333334,-0.6666666666666667,-0.16666666666666674,-2.3978952727983707,-2.414156868651151,-0.5047083549318196,-1.4594326117914855,-0.9547242568596658,0.065677801756056,0.0004600700203882226,-0.06521773173566778,0.06521773173566778
1,2,6,-0.8333333333333334,-0.6666666666666667,0.0,-2.3978952727983707,-2.414156868651151,0.0,-1.2070784343255756,-1.2070784343255756,0.05169530893273834,0.0004006766714389666,-0.05129463226129937,0.05129463226129937
1,2,7,-0.8333333333333334,-0.6666666666666667,0.16666666666666652,-2.3978952727983707,-2.414156868651151,0.504708354931819,-0.9547242568596661,-1.459432611791485,0.06567780176276532,0.0004744935768902326,-0.06520330818587508,0.06520330818587508
1,2,8,-0.8333333333333334,-0.6666666666666667,0.33333333333333326,-2.3978952727983707,-2.414156868651151,1.0397207708399177,-0.6872180489056168,-1.7269388197455344,0.12085578723346256,0.0031376388603100817,-0.11771814837315248,0.11771814837315248
1,2,9,-0.8333333333333334,-0.6666666666666667,0.5,-2.3978952727983707,-2.414156868651151,1.6479184330021646,-0.3831192178244933,-2.031037650826658,0.199002138082634,0.005207252313623879,-0.19379488576901013,0.19379488576901013
1,2,10,-0.8333333333333334,-0.6666666666666667,0.6666666666666665,-2.3978952727983707,-2.414156868651151,2.41415686865115,-6.661338147750939e-16,-2.4141568686511503,0.32775326901258595,0.02369385998600524,-0.3040594090265807,0.3040594090265807
1,2,11,-0.8333333333333334,-0.6666666666666667,0.8333333333333333,-2.3978952727983707,-2.414156868651151,3.596842909197555,0.591343020273202,-3.005499888924353,0.333329101571301,0.06361838041331908,-0.26971072115798195,0.26971072115798195
1,3,1,-0.8333333333333334,-0.5,-0.8333333333333334,-2.3978952727983707,-1.6479184330021646,-3.596842909197556,-2.6223806710998603,0.9744622380976957,0.3333330685325434,0.10427313103925062,-0.2290599374932928,0.2290599374932928
1,3,2,-0.8333333333333334,-0.5,-0.6666666666666667,-2.3978952727983707,-1.6479184330021646,-2.414156868651151,-2.031037650826658,0.3831192178244933,0.3320249615213072,0.043052309670181005,-0.2889726518511262,0.2889726518511262
1,3,3,-0.8333333333333334,-0.5,-0.5,-2.3978952727983707,-1.6479184330021646,-1.6479184330021646,-1.6479184330021646,0.0,0.32775326899561036,0.020805191345159908,-0.30694807765045046,0.30694807765045046
